Dot,Blue,Brown,DarkGray,Green,LightPink,Orange,Purple,Red,Yellow,participant
1.0,0.0,0.0,0.0,0.0,0.377777777778,0.311111111111,0.0,0.311111111111,0.0,156
2.0,0.0,0.222222222222,0.355555555556,0.422222222222,0.0,0.0,0.0,0.0,0.0,156
3.0,0.377777777778,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.288888888889,156
4.0,0.288888888889,0.0,0.0,0.0,0.0,0.0,0.311111111111,0.0,0.4,156
5.0,0.0,0.0,0.0,0.0,0.4,0.333333333333,0.0,0.266666666667,0.0,156
6.0,0.311111111111,0.0,0.0,0.0,0.0,0.0,0.355555555556,0.0,0.311111111111,156
7.0,0.0,0.4,0.333333333333,0.266666666667,0.0,0.0,0.0,0.0,0.0,156
8.0,0.0,0.377777777778,0.311111111111,0.311111111111,0.0,0.0,0.0,0.0,0.0,156
9.0,0.0,0.0,0.0,0.0,0.222222222222,0.355555555556,0.0,0.422222222222,0.0,156
