dot_values,colour_values,participant,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,date,
4.0,Yellow,112,0,187,187,187,m,0.37761592865,2016_Jul_15_1138,
1.0,LightPink,112,0,188,188,188,m,0.321387052536,2016_Jul_15_1138,
8.0,Brown,112,0,189,189,189,m,0.225612878799,2016_Jul_15_1138,
6.0,Blue,112,0,190,190,190,m,0.233345031738,2016_Jul_15_1138,
5.0,Red,112,0,191,191,191,m,0.297331094742,2016_Jul_15_1138,
7.0,Green,112,0,192,192,192,m,0.273527860641,2016_Jul_15_1138,
3.0,Purple,112,0,193,193,193,m,0.321360826492,2016_Jul_15_1138,
1.0,Orange,112,0,194,194,194,m,0.361084938049,2016_Jul_15_1138,
8.0,DarkGray,112,0,195,195,195,m,0.409481048584,2016_Jul_15_1138,
6.0,Blue,112,0,196,196,196,m,0.425252914429,2016_Jul_15_1138,
5.0,Red,112,0,197,197,197,m,0.489103078842,2016_Jul_15_1138,
7.0,Green,112,0,198,198,198,m,0.433336019516,2016_Jul_15_1138,
nan,nan,112,0,199,199,199,z,0.489180088043,2016_Jul_15_1138,
3.0,Purple,112,0,200,200,200,m,0.369319915771,2016_Jul_15_1138,
9.0,Orange,112,0,201,201,201,m,0.265232086182,2016_Jul_15_1138,
2.0,DarkGray,112,0,202,202,202,m,0.201309919357,2016_Jul_15_1138,
4.0,Blue,112,0,203,203,203,m,0.30510020256,2016_Jul_15_1138,
5.0,Red,112,0,204,204,204,m,0.321187019348,2016_Jul_15_1138,
7.0,Green,112,0,205,205,205,m,0.265283823013,2016_Jul_15_1138,
3.0,Yellow,112,0,206,206,206,m,0.289130926132,2016_Jul_15_1138,
1.0,LightPink,112,0,207,207,207,m,0.297240972519,2016_Jul_15_1138,
8.0,Brown,112,0,208,208,208,m,0.353145837784,2016_Jul_15_1138,
6.0,Purple,112,0,209,209,209,m,0.329158782959,2016_Jul_15_1138,
9.0,Orange,112,0,210,210,210,m,0.41712808609,2016_Jul_15_1138,
2.0,DarkGray,112,0,211,211,211,m,0.481153964996,2016_Jul_15_1138,
4.0,Blue,112,0,212,212,212,m,0.488971948624,2016_Jul_15_1138,
1.0,Red,112,0,213,213,213,m,0.537108898163,2016_Jul_15_1138,
8.0,Green,112,0,214,214,214,m,0.529273986816,2016_Jul_15_1138,
nan,nan,112,0,215,215,215,z,0.528934955597,2016_Jul_15_1138,
6.0,Yellow,112,0,216,216,216,m,0.481318950653,2016_Jul_15_1138,
9.0,LightPink,112,0,217,217,217,m,0.312787055969,2016_Jul_15_1138,
2.0,Brown,112,0,218,218,218,m,0.320964097977,2016_Jul_15_1138,
4.0,Blue,112,0,219,219,219,m,0.224814891815,2016_Jul_15_1138,
5.0,Red,112,0,220,220,220,m,0.249132871628,2016_Jul_15_1138,
7.0,Green,112,0,221,221,221,m,0.257071018219,2016_Jul_15_1138,
nan,nan,112,0,222,222,222,z,0.48876786232,2016_Jul_15_1138,
3.0,Yellow,112,0,223,223,223,m,0.416992902756,2016_Jul_15_1138,
9.0,LightPink,112,0,224,224,224,m,0.289109945297,2016_Jul_15_1138,
2.0,Brown,112,0,225,225,225,m,0.328700065613,2016_Jul_15_1138,
4.0,Purple,112,0,226,226,226,m,0.344933986664,2016_Jul_15_1138,
1.0,Orange,112,0,227,227,227,m,0.328683137894,2016_Jul_15_1138,
8.0,DarkGray,112,0,228,228,228,m,0.48898601532,2016_Jul_15_1138,
6.0,Yellow,112,0,229,229,229,m,0.352861881256,2016_Jul_15_1138,
9.0,LightPink,112,0,230,230,230,m,0.360687971115,2016_Jul_15_1138,
2.0,Brown,112,0,231,231,231,m,0.392706155777,2016_Jul_15_1138,
4.0,Blue,112,0,232,232,232,m,0.472718000412,2016_Jul_15_1138,
5.0,Red,112,0,233,233,233,m,0.480897903442,2016_Jul_15_1138,
7.0,Green,112,0,234,234,234,m,0.512904882431,2016_Jul_15_1138,
3.0,Yellow,112,0,235,235,235,m,0.528798818588,2016_Jul_15_1138,
1.0,LightPink,112,0,236,236,236,m,0.504882097244,2016_Jul_15_1138,
8.0,Brown,112,0,237,237,237,m,0.504799127579,2016_Jul_15_1138,
6.0,Purple,112,0,238,238,238,m,0.456633806229,2016_Jul_15_1138,
5.0,Orange,112,0,239,239,239,,,2016_Jul_15_1138,
7.0,DarkGray,112,0,240,240,240,m,0.0646481513977,2016_Jul_15_1138,
3.0,Blue,112,0,241,241,241,,,2016_Jul_15_1138,
1.0,Red,112,0,242,242,242,m,0.600816965103,2016_Jul_15_1138,
nan,nan,112,0,243,243,243,z,0.512497901917,2016_Jul_15_1138,
8.0,Green,112,0,244,244,244,m,0.328783035278,2016_Jul_15_1138,
6.0,Yellow,112,0,245,245,245,m,0.104578971863,2016_Jul_15_1138,
