comparison,stim1_dots2,stim2_color1,stim1_dots3,stim2_color3,stim1_dots1,stim2_dots1,stim2_color2,stim1_color1,stim1_color2,stim1_color3,participant,test,stim2_dots3,stim2_dots2,correct,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,stim_response,date,Unnamed: 24
15,4,brown,9,pink,2,9,yellow,yellow,pink,brown,114,dual,4,2,Left,0,29,29,29,0,0.248794078827,Right,2016_Jul_15_1542,
16,3,green,5,blue,7,5,red,blue,red,green,114,dual,3,7,Left,0,30,30,30,1,0.342628002167,Left,2016_Jul_15_1542,
16,7,yellow,3,brown,5,7,pink,brown,yellow,pink,114,dual,5,3,Right,0,31,31,31,1,0.360326051712,Left,2016_Jul_15_1542,
17,7,purple,3,darkgrey,5,7,orange,darkgrey,purple,orange,114,dual,5,3,Right,0,32,32,32,0,0.0507521629333,Right,2016_Jul_15_1542,
9,9,blue,2,green,6,6,orange,yellow,pink,brown,115,colours,2,9,Left,0,0,0,0,1,0.438864946365,Left,2016_Jul_21_1239,
10,9,purple,2,darkgrey,4,4,red,yellow,pink,brown,115,colours,2,9,Left,0,1,1,1,1,0.0693671703339,Left,2016_Jul_21_1239,
4,2,orange,4,purple,9,5,darkgrey,orange,darkgrey,purple,115,dots,3,8,Left,0,2,2,2,1,0.058944940567,Left,2016_Jul_21_1239,
7,9,blue,7,green,4,4,red,yellow,orange,darkgrey,115,colours,7,9,Right,0,3,3,3,0,0.776887178421,Right,2016_Jul_21_1239,
8,5,purple,8,brown,4,4,pink,blue,red,green,115,colours,8,5,Left,0,4,4,4,1,0.0978059768677,Left,2016_Jul_21_1239,
12,1,yellow,8,brown,4,4,red,purple,orange,darkgrey,115,colours,8,1,Left,0,5,5,5,1,0.2619099617,Left,2016_Jul_21_1239,
2,8,orange,6,yellow,1,5,green,orange,green,yellow,115,dots,3,2,Left,0,6,6,6,1,0.387609958649,Left,2016_Jul_21_1239,
1,8,pink,6,blue,1,9,green,pink,green,blue,115,dots,4,7,Left,0,7,7,7,0,0.52362203598,Right,2016_Jul_21_1239,
11,1,purple,8,darkgrey,4,4,orange,blue,pink,green,115,colours,8,1,Right,0,8,8,8,1,0.375401973724,Left,2016_Jul_21_1239,
6,7,orange,3,yellow,5,9,green,orange,green,yellow,115,dots,4,8,Left,0,9,9,9,1,0.448486089706,Left,2016_Jul_21_1239,
11,1,purple,7,darkgrey,6,6,orange,blue,pink,green,115,colours,7,1,Right,0,10,10,10,1,0.0382308959961,Left,2016_Jul_21_1239,
5,2,red,4,yellow,1,5,green,red,green,yellow,115,dots,3,7,Right,0,11,11,11,0,0.37285900116,Right,2016_Jul_21_1239,
4,8,red,3,yellow,5,9,green,red,green,yellow,115,dots,4,2,Right,0,12,12,12,0,0.0622029304504,Right,2016_Jul_21_1239,
6,7,pink,3,purple,5,9,darkgrey,pink,darkgrey,purple,115,dots,4,8,Left,0,13,13,13,0,0.276256799698,Right,2016_Jul_21_1239,
2,2,pink,3,yellow,5,1,darkgrey,pink,darkgrey,yellow,115,dots,6,8,Right,0,14,14,14,0,0.905341148376,Right,2016_Jul_21_1239,
10,5,yellow,2,brown,4,4,pink,purple,red,darkgrey,115,colours,2,5,Right,0,15,15,15,1,0.332851886749,Left,2016_Jul_21_1239,
8,5,purple,2,brown,4,4,pink,blue,red,green,115,colours,2,5,Left,0,16,16,16,1,0.375303030014,Left,2016_Jul_21_1239,
7,1,yellow,7,darkgrey,6,6,orange,blue,red,green,115,colours,7,1,Left,0,17,17,17,0,0.528359889984,Right,2016_Jul_21_1239,
9,5,yellow,8,brown,4,4,pink,blue,orange,green,115,colours,8,5,Right,0,18,18,18,0,0.035472869873,Right,2016_Jul_21_1239,
12,9,purple,2,darkgrey,3,3,orange,yellow,red,brown,115,colours,2,9,Right,0,19,19,19,0,0.138185977936,Right,2016_Jul_21_1239,
5,2,red,4,purple,1,5,brown,red,brown,purple,115,dots,3,7,Right,0,20,20,20,0,0.117241859436,Right,2016_Jul_21_1239,
3,2,red,4,purple,9,1,brown,red,brown,purple,115,dots,3,7,Left,0,21,21,21,0,0.520497083664,Right,2016_Jul_21_1239,
1,7,pink,4,blue,9,1,darkgrey,pink,darkgrey,blue,115,dots,6,8,Right,0,22,22,22,0,0.715499162674,Right,2016_Jul_21_1239,
3,2,red,4,purple,9,1,green,red,green,purple,115,dots,3,7,Left,0,23,23,23,0,0.486438989639,Right,2016_Jul_21_1239,
13,6,green,1,blue,8,1,red,blue,red,green,115,dual,6,8,Left,0,24,24,24,0,1.65815711021,Right,2016_Jul_21_1239,
13,6,brown,1,pink,8,1,yellow,yellow,pink,brown,115,dual,6,8,Left,0,25,25,25,0,0.319005966187,Right,2016_Jul_21_1239,
14,6,darkgrey,1,orange,8,1,purple,purple,orange,darkgrey,115,dual,6,8,Left,0,26,26,26,0,0.361748933792,Right,2016_Jul_21_1239,
14,4,green,9,blue,2,9,red,blue,red,green,115,dual,4,2,Left,0,27,27,27,0,0.723875045776,Right,2016_Jul_21_1239,
15,2,purple,4,darkgrey,9,2,orange,darkgrey,purple,orange,115,dual,9,4,Right,0,28,28,28,0,0.134841918945,Right,2016_Jul_21_1239,
15,4,brown,9,pink,2,9,yellow,yellow,pink,brown,115,dual,4,2,Left,0,29,29,29,0,0.321187973022,Right,2016_Jul_21_1239,
16,7,blue,3,green,5,7,red,green,red,blue,115,dual,5,3,Right,0,30,30,30,0,0.292702198029,Right,2016_Jul_21_1239,
16,7,yellow,3,brown,5,7,pink,brown,yellow,pink,115,dual,5,3,Right,0,31,31,31,0,2.33719110489,Right,2016_Jul_21_1239,
17,3,darkgrey,5,orange,7,5,purple,purple,orange,darkgrey,115,dual,3,7,Left,0,32,32,32,1,0.185431957245,Left,2016_Jul_21_1239,
9,1,yellow,7,brown,6,6,pink,blue,orange,green,116,colours,7,1,Right,0,0,0,0,1,0.337914943695,Left,2016_Jul_21_1530,
6,7,orange,3,purple,5,9,green,orange,green,purple,116,dots,4,8,Left,0,1,1,1,0,0.0837910175323,Right,2016_Jul_21_1530,
2,8,orange,6,yellow,1,5,darkgrey,orange,darkgrey,yellow,116,dots,3,2,Left,0,2,2,2,0,0.057098865509,Right,2016_Jul_21_1530,
11,5,blue,2,green,4,4,pink,purple,orange,darkgrey,116,colours,2,5,Left,0,3,3,3,0,0.127179861069,Right,2016_Jul_21_1530,
6,7,red,3,blue,5,9,green,red,green,blue,116,dots,4,8,Left,0,4,4,4,1,1.14652299881,Left,2016_Jul_21_1530,
1,8,pink,6,purple,1,9,green,pink,green,purple,116,dots,4,7,Left,0,5,5,5,0,0.412162065506,Right,2016_Jul_21_1530,
12,1,purple,7,darkgrey,3,3,orange,yellow,red,brown,116,colours,7,1,Right,0,6,6,6,0,0.244006872177,Right,2016_Jul_21_1530,
12,9,purple,2,darkgrey,6,6,orange,yellow,red,brown,116,colours,2,9,Right,0,7,7,7,0,0.154563188553,Right,2016_Jul_21_1530,
1,8,pink,6,blue,1,9,brown,pink,brown,blue,116,dots,4,7,Left,0,8,8,8,1,0.124356985092,Left,2016_Jul_21_1530,
9,5,blue,2,green,4,4,orange,yellow,pink,brown,116,colours,2,5,Left,0,9,9,9,1,0.359549999237,Left,2016_Jul_21_1530,
2,2,pink,3,blue,5,1,green,pink,green,blue,116,dots,6,8,Right,0,10,10,10,0,0.177969932556,Right,2016_Jul_21_1530,
5,2,pink,4,purple,1,5,brown,pink,brown,purple,116,dots,3,7,Right,0,11,11,11,0,0.323534011841,Right,2016_Jul_21_1530,
4,8,orange,3,yellow,5,9,green,orange,green,yellow,116,dots,4,2,Right,0,12,12,12,0,0.158488035202,Right,2016_Jul_21_1530,
8,9,purple,2,brown,3,3,pink,blue,red,green,116,colours,2,9,Left,0,13,13,13,1,0.232618093491,Left,2016_Jul_21_1530,
7,1,blue,2,green,3,3,red,yellow,orange,darkgrey,116,colours,2,1,Right,0,14,14,14,0,0.351404905319,Right,2016_Jul_21_1530,
8,5,purple,2,brown,3,3,pink,blue,red,green,116,colours,2,5,Left,0,15,15,15,0,0.217175960541,Right,2016_Jul_21_1530,
3,7,orange,3,purple,1,9,darkgrey,orange,darkgrey,purple,116,dots,4,2,Right,0,16,16,16,1,0.144520044327,Left,2016_Jul_21_1530,
5,7,red,3,blue,5,1,green,red,green,blue,116,dots,4,2,Left,0,17,17,17,0,0.227311849594,Right,2016_Jul_21_1530,
10,9,purple,7,darkgrey,3,3,red,yellow,pink,brown,116,colours,7,9,Left,0,18,18,18,0,0.0505568981171,Right,2016_Jul_21_1530,
4,2,orange,4,yellow,9,5,darkgrey,orange,darkgrey,yellow,116,dots,3,8,Left,0,19,19,19,0,0.600824117661,Right,2016_Jul_21_1530,
11,9,purple,8,darkgrey,6,6,orange,blue,pink,green,116,colours,8,9,Right,0,20,20,20,1,0.312155008316,Left,2016_Jul_21_1530,
3,2,pink,4,purple,9,1,green,pink,green,purple,116,dots,3,7,Left,0,21,21,21,0,0.380033969879,Right,2016_Jul_21_1530,
7,5,blue,2,green,6,6,red,yellow,orange,darkgrey,116,colours,2,5,Right,0,22,22,22,1,0.50874710083,Left,2016_Jul_21_1530,
10,5,purple,7,darkgrey,4,4,red,yellow,pink,brown,116,colours,7,5,Left,0,23,23,23,0,0.192142009735,Right,2016_Jul_21_1530,
13,6,green,1,blue,8,1,red,blue,red,green,116,dual,6,8,Left,0,24,24,24,1,0.440995931625,Left,2016_Jul_21_1530,
13,6,brown,1,pink,8,1,yellow,yellow,pink,brown,116,dual,6,8,Left,0,25,25,25,0,0.478825092316,Right,2016_Jul_21_1530,
14,2,blue,4,green,9,2,red,green,red,blue,116,dual,9,4,Right,0,26,26,26,0,0.27663397789,Right,2016_Jul_21_1530,
14,8,purple,6,darkgrey,1,8,orange,darkgrey,purple,orange,116,dual,1,6,Right,0,27,27,27,0,0.19339299202,Right,2016_Jul_21_1530,
15,4,darkgrey,9,orange,2,9,purple,purple,orange,darkgrey,116,dual,4,2,Left,0,28,28,28,0,0.530458927155,Right,2016_Jul_21_1530,
15,4,brown,9,pink,2,9,yellow,yellow,pink,brown,116,dual,4,2,Left,0,29,29,29,1,0.396713972092,Left,2016_Jul_21_1530,
16,3,green,5,blue,7,5,red,blue,red,green,116,dual,3,7,Left,0,30,30,30,1,0.276949167252,Left,2016_Jul_21_1530,
16,3,brown,5,pink,7,5,yellow,yellow,pink,brown,116,dual,3,7,Left,0,31,31,31,0,0.93851184845,Right,2016_Jul_21_1530,
17,7,purple,3,darkgrey,5,7,orange,darkgrey,purple,orange,116,dual,5,3,Right,0,32,32,32,0,0.204147100449,Right,2016_Jul_21_1530,
7,1,blue,8,green,6,6,red,yellow,orange,darkgrey,117,colours,8,1,Right,0,0,0,0,1,0.9226770401,Left,2016_Jul_27_1439,
10,9,purple,2,darkgrey,3,3,red,yellow,pink,brown,117,colours,2,9,Left,0,1,1,1,1,0.125169038773,Left,2016_Jul_27_1439,
2,2,orange,3,blue,5,1,green,orange,green,blue,117,dots,6,8,Right,0,2,2,2,1,0.424612998962,Left,2016_Jul_27_1439,
3,2,orange,4,blue,9,1,green,orange,green,blue,117,dots,3,7,Left,0,3,3,3,0,0.511563062668,Right,2016_Jul_27_1439,
6,8,red,4,purple,9,5,green,red,green,purple,117,dots,3,7,Right,0,4,4,4,0,0.45129108429,Right,2016_Jul_27_1439,
12,1,yellow,8,brown,6,6,red,purple,orange,darkgrey,117,colours,8,1,Left,0,5,5,5,1,0.257140159607,Left,2016_Jul_27_1439,
1,7,orange,4,yellow,9,1,darkgrey,orange,darkgrey,yellow,117,dots,6,8,Right,0,6,6,6,0,0.190505981445,Right,2016_Jul_27_1439,
2,2,red,3,blue,5,1,brown,red,brown,blue,117,dots,6,8,Right,0,7,7,7,0,1.26394891739,Right,2016_Jul_27_1439,
4,2,orange,4,purple,9,5,brown,orange,brown,purple,117,dots,3,8,Left,0,8,8,8,1,0.212625980377,Left,2016_Jul_27_1439,
8,5,blue,8,green,6,6,red,purple,pink,brown,117,colours,8,5,Right,0,9,9,9,1,0.156408071518,Left,2016_Jul_27_1439,
11,5,purple,7,darkgrey,6,6,orange,blue,pink,green,117,colours,7,5,Right,0,10,10,10,0,0.198873996735,Right,2016_Jul_27_1439,
1,7,pink,4,blue,9,1,darkgrey,pink,darkgrey,blue,117,dots,6,8,Right,0,11,11,11,1,0.31049990654,Left,2016_Jul_27_1439,
12,1,yellow,8,brown,4,4,red,purple,orange,darkgrey,117,colours,8,1,Left,0,12,12,12,1,0.506142854691,Left,2016_Jul_27_1439,
4,8,orange,3,yellow,5,9,darkgrey,orange,darkgrey,yellow,117,dots,4,2,Right,0,13,13,13,1,0.398154973984,Left,2016_Jul_27_1439,
5,7,pink,3,blue,5,1,brown,pink,brown,blue,117,dots,4,2,Left,0,14,14,14,0,0.109275102615,Right,2016_Jul_27_1439,
9,5,yellow,8,brown,3,3,pink,blue,orange,green,117,colours,8,5,Right,0,15,15,15,1,0.185770988464,Left,2016_Jul_27_1439,
5,7,orange,3,purple,5,1,brown,orange,brown,purple,117,dots,4,2,Left,0,16,16,16,1,0.170542955399,Left,2016_Jul_27_1439,
7,1,yellow,7,darkgrey,6,6,orange,blue,red,green,117,colours,7,1,Left,0,17,17,17,0,0.1079621315,Right,2016_Jul_27_1439,
11,9,purple,8,darkgrey,4,4,orange,blue,pink,green,117,colours,8,9,Right,0,18,18,18,0,0.0162100791931,Right,2016_Jul_27_1439,
10,1,purple,8,darkgrey,6,6,red,yellow,pink,brown,117,colours,8,1,Left,0,19,19,19,0,4.53571081161,Right,2016_Jul_27_1439,
6,7,red,3,yellow,5,9,darkgrey,red,darkgrey,yellow,117,dots,4,8,Left,0,20,20,20,0,0.269745111465,Right,2016_Jul_27_1439,
8,5,purple,2,brown,6,6,pink,blue,red,green,117,colours,2,5,Left,0,21,21,21,0,0.0427939891815,Right,2016_Jul_27_1439,
3,7,pink,3,blue,1,9,green,pink,green,blue,117,dots,4,2,Right,0,22,22,22,1,0.41764998436,Left,2016_Jul_27_1439,
9,9,yellow,7,brown,3,3,pink,blue,orange,green,117,colours,7,9,Right,0,23,23,23,1,0.376908063889,Left,2016_Jul_27_1439,
13,8,yellow,6,brown,1,8,pink,brown,yellow,pink,117,dual,1,6,Right,0,24,24,24,0,0.130284070969,Right,2016_Jul_27_1439,
13,8,blue,6,green,1,8,red,green,red,blue,117,dual,1,6,Right,0,25,25,25,0,0.125000953674,Right,2016_Jul_27_1439,
14,6,darkgrey,1,orange,8,1,purple,purple,orange,darkgrey,117,dual,6,8,Left,0,26,26,26,0,0.200361013412,Right,2016_Jul_27_1439,
14,4,green,9,blue,2,9,red,blue,red,green,117,dual,4,2,Left,0,27,27,27,0,0.744112014771,Right,2016_Jul_27_1439,
15,4,brown,9,pink,2,9,yellow,yellow,pink,brown,117,dual,4,2,Left,0,28,28,28,0,0.234231948853,Right,2016_Jul_27_1439,
15,4,darkgrey,9,orange,2,9,purple,purple,orange,darkgrey,117,dual,4,2,Left,0,29,29,29,0,0.0329101085663,Right,2016_Jul_27_1439,
16,7,blue,3,green,5,7,red,green,red,blue,117,dual,5,3,Right,0,30,30,30,1,0.871633052826,Left,2016_Jul_27_1439,
16,7,yellow,3,brown,5,7,pink,brown,yellow,pink,117,dual,5,3,Right,0,31,31,31,0,0.228472948074,Right,2016_Jul_27_1439,
17,7,purple,3,darkgrey,5,7,orange,darkgrey,purple,orange,117,dual,5,3,Right,0,32,32,32,1,0.331559896469,Left,2016_Jul_27_1439,
8,5,purple,7,brown,6,6,pink,blue,red,green,118,colours,7,5,Left,0,0,0,0,0,1.0565290451,Right,2016_Aug_04_1343,
1,8,orange,6,purple,1,9,brown,orange,brown,purple,118,dots,4,7,Left,0,1,1,1,1,0.709546089172,Left,2016_Aug_04_1343,
11,1,blue,8,green,3,3,pink,purple,orange,darkgrey,118,colours,8,1,Left,0,2,2,2,0,0.209036827087,Right,2016_Aug_04_1343,
5,7,pink,3,blue,5,1,brown,pink,brown,blue,118,dots,4,2,Left,0,3,3,3,0,0.640453100204,Right,2016_Aug_04_1343,
12,5,purple,7,darkgrey,4,4,orange,yellow,red,brown,118,colours,7,5,Right,0,4,4,4,0,0.407127857208,Right,2016_Aug_04_1343,
2,2,red,3,purple,5,1,brown,red,brown,purple,118,dots,6,8,Right,0,5,5,5,0,0.262918949127,Right,2016_Aug_04_1343,
9,9,yellow,7,brown,6,6,pink,blue,orange,green,118,colours,7,9,Right,0,6,6,6,0,0.388731956482,Right,2016_Aug_04_1343,
6,8,orange,4,blue,9,5,brown,orange,brown,blue,118,dots,3,7,Right,0,7,7,7,0,0.109024047852,Right,2016_Aug_04_1343,
11,9,blue,8,green,6,6,pink,purple,orange,darkgrey,118,colours,8,9,Left,0,8,8,8,0,0.617635965347,Right,2016_Aug_04_1343,
5,2,red,4,purple,1,5,green,red,green,purple,118,dots,3,7,Right,0,9,9,9,0,1.56853508949,Right,2016_Aug_04_1343,
4,8,orange,3,purple,5,9,darkgrey,orange,darkgrey,purple,118,dots,4,2,Right,0,10,10,10,1,1.19216585159,Left,2016_Aug_04_1343,
12,5,purple,2,darkgrey,4,4,orange,yellow,red,brown,118,colours,2,5,Right,0,11,11,11,0,0.215959072113,Right,2016_Aug_04_1343,
2,2,pink,3,yellow,5,1,green,pink,green,yellow,118,dots,6,8,Right,0,12,12,12,1,0.671326875687,Left,2016_Aug_04_1343,
1,8,red,6,purple,1,9,darkgrey,red,darkgrey,purple,118,dots,4,7,Left,0,13,13,13,1,0.491760969162,Left,2016_Aug_04_1343,
6,8,orange,4,blue,9,5,green,orange,green,blue,118,dots,3,7,Right,0,14,14,14,1,0.0962109565735,Left,2016_Aug_04_1343,
10,1,purple,8,darkgrey,6,6,red,yellow,pink,brown,118,colours,8,1,Left,0,15,15,15,1,0.724466085434,Left,2016_Aug_04_1343,
8,5,blue,8,green,3,3,red,purple,pink,brown,118,colours,8,5,Right,0,16,16,16,0,0.711930036545,Right,2016_Aug_04_1343,
3,2,pink,4,blue,9,1,green,pink,green,blue,118,dots,3,7,Left,0,17,17,17,0,0.659258127213,Right,2016_Aug_04_1343,
4,2,red,4,yellow,9,5,green,red,green,yellow,118,dots,3,8,Left,0,18,18,18,0,0.568950891495,Right,2016_Aug_04_1343,
3,2,orange,4,yellow,9,1,darkgrey,orange,darkgrey,yellow,118,dots,3,7,Left,0,19,19,19,0,0.649680137634,Right,2016_Aug_04_1343,
9,5,blue,8,green,3,3,orange,yellow,pink,brown,118,colours,8,5,Left,0,20,20,20,1,0.271085977554,Left,2016_Aug_04_1343,
7,1,yellow,8,darkgrey,3,3,orange,blue,red,green,118,colours,8,1,Left,0,21,21,21,0,0.0679950714111,Right,2016_Aug_04_1343,
10,5,purple,7,darkgrey,6,6,red,yellow,pink,brown,118,colours,7,5,Left,0,22,22,22,1,1.25029706955,Left,2016_Aug_04_1343,
7,1,yellow,7,darkgrey,4,4,orange,blue,red,green,118,colours,7,1,Left,0,23,23,23,0,1.17503499985,Right,2016_Aug_04_1343,
13,6,brown,1,pink,8,1,yellow,yellow,pink,brown,118,dual,6,8,Left,0,24,24,24,0,0.390714168549,Right,2016_Aug_04_1343,
13,8,blue,6,green,1,8,red,green,red,blue,118,dual,1,6,Right,0,25,25,25,0,0.783519983292,Right,2016_Aug_04_1343,
14,8,purple,6,darkgrey,1,8,orange,darkgrey,purple,orange,118,dual,1,6,Right,0,26,26,26,0,1.28768014908,Right,2016_Aug_04_1343,
14,4,green,9,blue,2,9,red,blue,red,green,118,dual,4,2,Left,0,27,27,27,0,0.354421138763,Right,2016_Aug_04_1343,
15,2,purple,4,darkgrey,9,2,orange,darkgrey,purple,orange,118,dual,9,4,Right,0,28,28,28,0,0.940855979919,Right,2016_Aug_04_1343,
15,2,yellow,4,brown,9,2,pink,brown,yellow,pink,118,dual,9,4,Right,0,29,29,29,0,0.814957141876,Right,2016_Aug_04_1343,
16,7,blue,3,green,5,7,red,green,red,blue,118,dual,5,3,Right,0,30,30,30,1,0.525491952896,Left,2016_Aug_04_1343,
16,7,yellow,3,brown,5,7,pink,brown,yellow,pink,118,dual,5,3,Right,0,31,31,31,0,0.400294065475,Right,2016_Aug_04_1343,
17,3,darkgrey,5,orange,7,5,purple,purple,orange,darkgrey,118,dual,3,7,Left,0,32,32,32,0,0.376320838928,Right,2016_Aug_04_1343,
