dot_values,colour_values,participant,response,response_time,date,correct_response,answered_correctly
5.0,Red,110,m,0.046660900116,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.246771097183,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.262648105621,2016_Aug_16_1429,m,1
9.0,Orange,110,m,0.262791872025,2016_Aug_16_1429,m,1
2.0,DarkGray,110,,,2016_Aug_16_1429,m,0
4.0,Blue,110,m,0.254884004593,2016_Aug_16_1429,m,1
,,110,z,0.366620063782,2016_Aug_16_1429,z,1
1.0,Red,110,m,0.254456996918,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.0468018054962,2016_Aug_16_1429,m,1
6.0,Purple,110,m,0.0467960834503,2016_Aug_16_1429,m,1
5.0,Orange,110,,,2016_Aug_16_1429,m,0
7.0,DarkGray,110,,,2016_Aug_16_1429,m,0
3.0,Blue,110,m,0.462465047836,2016_Aug_16_1429,m,1
9.0,Red,110,m,0.262396097183,2016_Aug_16_1429,m,1
2.0,Green,110,m,0.0705549716949,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.134762048721,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.230652809143,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.238684892654,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.254411935806,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.262479066849,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.230713844299,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.262655973434,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.238440036774,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.222700834274,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.25461602211,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.262433052063,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.126616954803,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.0783259868622,2016_Aug_16_1429,m,1
1.0,Orange,110,,,2016_Aug_16_1429,m,0
8.0,DarkGray,110,,,2016_Aug_16_1429,m,0
6.0,Yellow,110,,,2016_Aug_16_1429,m,0
5.0,LightPink,110,,,2016_Aug_16_1429,m,0
7.0,Brown,110,,,2016_Aug_16_1429,m,0
3.0,Blue,110,,,2016_Aug_16_1429,m,0
9.0,Red,110,,,2016_Aug_16_1429,m,0
,,110,z,0.51832485199,2016_Aug_16_1429,z,1
2.0,Green,110,m,0.254533052444,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.126175165176,2016_Aug_16_1429,m,1
5.0,LightPink,110,m,0.406172990799,2016_Aug_16_1429,m,1
7.0,Brown,110,m,0.118205070496,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.246395111084,2016_Aug_16_1429,m,1
1.0,Orange,110,m,0.326131820679,2016_Aug_16_1429,m,1
8.0,DarkGray,110,m,0.118102073669,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.278037071228,2016_Aug_16_1429,m,1
9.0,Red,110,m,0.526031970978,2016_Aug_16_1429,m,1
2.0,Green,110,m,0.294116973877,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.55810213089,2016_Aug_16_1429,m,1
5.0,LightPink,110,m,0.302406072617,2016_Aug_16_1429,m,1
7.0,Brown,110,m,0.102272033691,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.358155965805,2016_Aug_16_1429,m,1
1.0,Orange,110,m,0.182293176651,2016_Aug_16_1429,m,1
8.0,DarkGray,110,,,2016_Aug_16_1429,m,0
6.0,Yellow,110,m,0.35023021698,2016_Aug_16_1429,m,1
,,110,m,0.0859611034393,2016_Aug_16_1429,z,0
9.0,LightPink,110,m,0.19797205925,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.134194850922,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.358064174652,2016_Aug_16_1429,m,1
